filename,Track_length,Min_Alt_msl,Max_Alt_msl,Min_Speed,Max_Speed,Min_Alt_agl,Max_Alt_agl,trackId
1.csv,183,2539.03571499139,2632.28669707105,202.700235340454,202.700235340454,2539.035714991,2539.035714991,1
2.csv,183,14945.8090502992,16714.5014806576,121.534294624536,121.534294624536,14912.3895927273,16714.5014806587,2
3.csv,183,981.655967917293,1892.92843404412,88.2691230325031,88.2691230325031,975.337971038024,1892.75546067171,3
4.csv,183,2801.15381288156,3113.86973642558,93.1603692266972,93.1603692266972,2801.15381287993,3112.07423556961,4
5.csv,183,2108.15211949497,2140.02526187897,118.504587662277,118.504587662277,2108.1521194943,2108.1521194943,5
6.csv,183,370.751215361059,1138.79920775816,78.3007202259206,152.324845893037,340.302089792188,1138.69745320747,6
7.csv,183,679.014796417207,1400.75053239614,159.64618927944,159.64618927944,649.068281963899,1394.87563812228,7
8.csv,183,2110.12216134742,2908.31671974808,105.253879338946,105.253879338946,2085.03143787312,2897.2034340991,8
9.csv,183,2832.02699811384,3067.69081431255,100.236637124728,100.236637124728,2832.02699811327,3044.89458290538,9
10.csv,183,2250.974760212,3479.73393629119,112.608337647012,112.608337647012,2250.97476021117,3451.00853031323,10
11.csv,183,1186.18230025843,1212.43497381732,107.547378948598,107.547378948598,1186.18230025885,1186.18230025885,11
12.csv,183,4583.85525809601,4613.92884404212,115.117455147999,115.117455147999,4583.85525809613,4583.85525809613,12
13.csv,183,1015.2153791748,1292.02666852996,164.42184213851,164.42184213851,1015.21537917568,1230.6738538832,13
14.csv,183,2629.05190735683,3048.95721030235,137.146599050022,137.146599050022,2629.05190735634,3006.28573188454,14
15.csv,183,2660.61236343533,2990.08557843789,38.5031910967352,88.6062653605557,2660.61236343418,2987.63360346365,15
16.csv,183,221.794465217739,1109.20512859151,14.5746588480059,118.617993573019,213.258303807769,1106.71005944448,16
17.csv,183,514.985576268286,912.864396017045,21.112057530862,102.938524004223,510.744589876506,906.739334557754,17
18.csv,183,4107.14939196035,4165.23993947357,159.99133980899,159.99133980899,4107.14939196152,4107.14939196152,18
19.csv,183,540.967628274113,813.619375005364,101.175523875677,113.673588856621,540.967628274573,785.819416417789,19
20.csv,183,681.221688013524,1296.14876233414,42.5194138771471,116.324212806361,680.159553906686,1296.14876233303,20
21.csv,183,2315.97038121894,2440.24834575877,96.9625819214357,96.9625819214357,2315.970381219,2419.00548311748,21
22.csv,183,162.782212235034,719.062830161303,22.0754165129727,103.232248322028,155.621422723432,719.06283016086,22
23.csv,183,617.499174829572,654.716535396874,114.43681879986,114.43681879986,617.499174827717,624.99204555808,23
24.csv,183,817.250736914575,819.889865912497,35.2201491029207,35.2201491029207,817.250736913009,817.250736913009,24
25.csv,183,1514.96805690974,1555.2226139009,133.175426231162,133.175426231162,1514.9680569103,1514.9680569103,25
